School Year,Topic,Grade,District,Proficient,Total
2024,Reading,6,2403,44.0,61.0
2022,Reading,5,1359,26.0,33.0
2024,Math,6,5697,29.0,39.0
2023,Math,6,4446,57.0,72.0
2023,Math,7,6509,23.0,25.0
2017,Math,6,1619,76.0,94.0
2020,Math,5,2781,62.0,78.0
2020,Math,7,2977,25.0,46.0
2014,Reading,4,5166,149.0,162.0
2025,Math,4,6854,30.0,38.0
2014,Math,11,2511,114.0,138.0
2023,Math,7,3042,30.0,33.0
2016,Reading,11,2763,48.0,60.0
2025,Reading,10,5250,279.0,293.0
2017,Math,11,6768,120.0,143.0
2025,Math,10,3555,48.0,49.0
2014,Reading,4,6096,29.0,37.0
2024,Reading,11,4086,107.0,121.0
2022,Math,11,6937,39.0,45.0
2025,Math,3,6957,487.0,594.0
2024,Math,5,4023,37.0,41.0
2017,Reading,5,4599,46.0,55.0
2022,Math,11,4905,7.0,12.0
2019,Reading,4,2007,27.0,33.0
2025,Reading,3,1926,33.0,42.0
2022,Reading,8,2457,23.0,32.0
2016,Reading,4,18,19.0,27.0
2023,Reading,8,4644,23.0,34.0
2018,Math,4,3168,18.0,27.0
2018,Reading,8,2369,26.0,39.0
2020,Math,7,1975,23.0,27.0
2016,Math,4,3114,184.0,208.0
2022,Math,6,261,524.0,604.0
2021,Reading,11,2205,9.0,15.0
2025,Math,10,5895,12.0,14.0
2021,Reading,7,4617,76.0,99.0
2017,Reading,7,3033,31.0,37.0
2023,Math,8,6985,47.0,54.0
2014,Reading,11,3942,29.0,32.0
2020,Reading,3,5742,26.0,30.0
2018,Math,7,6795,414.0,700.0
2023,Math,6,5823,33.0,52.0
2020,Reading,3,6975,63.0,95.0
2021,Math,11,1972,30.0,32.0
2021,Math,5,4149,76.0,85.0
2015,Reading,11,3465,27.0,34.0
2025,Math,4,1107,62.0,82.0
2019,Reading,5,513,23.0,28.0
2021,Math,7,3816,32.0,37.0
2025,Math,6,2772,13.0,24.0
2021,Reading,8,99,37.0,48.0
2014,Reading,11,18,25.0,37.0
2019,Math,3,4797,137.0,156.0
2018,Reading,8,2772,13.0,20.0
2022,Math,3,4772,15.0,19.0
2014,Math,4,2673,36.0,48.0
2022,Math,7,540,41.0,47.0
2017,Reading,3,2763,24.0,42.0
2025,Reading,5,4772,26.0,33.0
2019,Math,6,6930,46.0,64.0
2015,Math,8,846,37.0,51.0
2025,Reading,8,225,244.0,281.0
2019,Reading,8,6950,113.0,137.0
2024,Math,11,2088,48.0,61.0
2018,Reading,8,4572,17.0,25.0
2019,Reading,6,5949,51.0,67.0
2025,Math,7,1449,10.0,10.0
2024,Reading,5,873,25.0,35.0
2014,Math,4,6768,75.0,105.0
2019,Math,8,153,41.0,45.0
2017,Math,8,6969,27.0,45.0
2024,Math,6,414,20.0,24.0
2020,Math,5,81,64.0,81.0
2025,Math,10,4269,22.0,25.0
2019,Math,8,914,21.0,26.0
2016,Reading,8,5337,20.0,23.0
2025,Reading,11,3744,46.0,51.0
2021,Reading,3,6098,67.0,95.0
2020,Math,8,6264,42.0,49.0
2022,Math,3,1233,62.0,79.0
2014,Reading,11,6969,21.0,31.0
2022,Reading,3,540,32.0,39.0
2024,Reading,11,914,16.0,23.0
2023,Math,3,5184,75.0,106.0
2021,Reading,11,4779,67.0,82.0
2025,Reading,4,2834,13.0,20.0
2023,Reading,5,2097,25.0,37.0
2019,Math,7,936,46.0,76.0
2017,Math,7,5337,25.0,26.0
2023,Reading,6,3060,53.0,71.0
2018,Reading,11,2727,35.0,52.0
2014,Math,11,1350,28.0,38.0
2017,Reading,5,5310,19.0,25.0
2021,Math,5,2349,22.0,23.0
2021,Math,4,4725,162.0,214.0
2018,Reading,4,3420,43.0,50.0
2022,Math,6,2834,11.0,15.0
2025,Math,11,4043,33.0,41.0
2020,Reading,5,2988,42.0,53.0
2015,Reading,11,1476,344.0,489.0
2024,Math,11,387,73.0,99.0
2018,Reading,4,270,10.0,16.0
2024,Reading,7,4356,45.0,77.0
2025,Reading,3,3119,42.0,50.0
2024,Reading,8,5184,60.0,125.0
2017,Math,6,2988,34.0,38.0
2018,Reading,6,4203,54.0,65.0
2017,Math,6,4775,16.0,17.0
2015,Reading,4,981,76.0,103.0
2025,Reading,6,1611,630.0,1033.0
2022,Reading,11,4554,74.0,85.0
2019,Reading,3,4869,65.0,91.0
2022,Math,6,549,30.0,39.0
2020,Reading,8,6937,38.0,45.0
2021,Math,3,4775,8.0,14.0
2014,Reading,8,261,366.0,433.0
2023,Reading,5,1968,40.0,60.0
2022,Math,7,5868,26.0,33.0
2018,Math,7,1737,1284.0,1941.0
2021,Reading,6,3195,58.0,69.0
2022,Reading,11,6840,114.0,139.0
2025,Reading,5,873,18.0,19.0
2019,Reading,7,1503,68.0,99.0
2023,Math,3,3715,441.0,505.0
2020,Math,6,6592,45.0,51.0
2019,Reading,5,2502,38.0,49.0
2023,Reading,11,2826,117.0,124.0
2021,Reading,4,4869,40.0,56.0
2021,Reading,11,3609,17.0,22.0
2024,Reading,6,4773,34.0,39.0
2017,Reading,5,5643,63.0,85.0
2021,Reading,3,6099,27.0,32.0
2021,Math,4,4269,21.0,30.0
2014,Math,8,3114,194.0,243.0
2022,Reading,11,7002,13.0,19.0
2024,Math,5,2511,116.0,137.0
2023,Math,11,2457,27.0,31.0
2024,Math,3,1975,15.0,27.0
2025,Math,6,2763,37.0,42.0
2021,Reading,6,4505,9.0,20.0
2017,Math,4,6030,55.0,60.0
2025,Math,3,1093,44.0,60.0
2023,Reading,3,6097,6.0,10.0
2018,Math,6,819,29.0,39.0
2021,Math,7,3204,44.0,57.0
2022,Math,5,2826,103.0,114.0
2022,Reading,7,1611,690.0,1041.0
2017,Math,3,2520,18.0,23.0
2015,Reading,4,441,23.0,36.0
2025,Math,5,2727,35.0,48.0
2020,Reading,6,5607,35.0,47.0
2025,Math,11,3978,27.0,33.0
2025,Math,8,3906,32.0,32.0
2025,Reading,5,1638,87.0,103.0
2015,Math,11,7038,52.0,67.0
2018,Reading,6,6102,96.0,134.0
2020,Reading,8,6985,46.0,70.0
2021,Math,11,333,10.0,17.0
2022,Math,11,936,55.0,68.0
2023,Math,11,5013,102.0,139.0
2020,Reading,7,1926,53.0,65.0
2024,Math,6,5163,33.0,43.0
2023,Math,7,6102,91.0,114.0
2018,Reading,7,2511,116.0,153.0
2021,Math,3,4772,31.0,35.0
2025,Reading,7,27,97.0,110.0
2025,Math,11,6795,458.0,648.0
2017,Reading,3,1953,30.0,51.0
2017,Math,6,5121,37.0,44.0
2014,Math,11,4269,35.0,51.0
2016,Math,4,5256,37.0,39.0
2024,Math,8,6093,77.0,87.0
2021,Math,8,2988,48.0,57.0
2021,Reading,5,2124,66.0,85.0
2024,Math,7,3600,138.0,148.0
2022,Reading,11,6102,121.0,149.0
2021,Reading,3,6246,11.0,14.0
2019,Math,5,4212,15.0,20.0
2024,Math,3,6471,15.0,26.0
2019,Reading,5,5976,56.0,78.0
2018,Math,4,5301,11.0,16.0
2022,Reading,11,3150,75.0,91.0
2021,Reading,5,1197,47.0,62.0
2020,Math,3,3330,20.0,23.0
2025,Math,8,7056,107.0,114.0
2024,Reading,11,6867,83.0,113.0
2023,Math,3,5751,44.0,44.0
2017,Reading,5,3906,29.0,35.0
2023,Math,11,6264,47.0,55.0
2018,Math,3,5697,28.0,35.0
2020,Math,3,594,34.0,44.0
2018,Reading,11,5697,40.0,55.0
2019,Reading,7,1215,20.0,27.0
2018,Reading,11,540,40.0,53.0
2018,Reading,7,5742,26.0,34.0
2020,Reading,6,5868,10.0,12.0
2021,Reading,11,6264,40.0,56.0
2024,Math,3,1079,56.0,76.0
2015,Reading,4,4787,11.0,21.0
2025,Math,3,5607,44.0,53.0
2015,Math,11,6471,19.0,23.0
2023,Reading,6,5751,34.0,45.0
2022,Reading,5,2097,19.0,21.0
2018,Math,4,1675,10.0,14.0
2018,Reading,11,594,31.0,48.0
2017,Reading,6,5256,35.0,50.0
2020,Math,11,4777,42.0,49.0
2016,Reading,4,5616,22.0,29.0
2022,Math,7,1791,47.0,53.0
2024,Reading,8,6795,371.0,666.0
2024,Reading,11,4775,18.0,20.0
2020,Reading,4,5250,213.0,256.0
2021,Reading,6,387,54.0,81.0
2020,Math,5,2834,18.0,27.0
2019,Math,4,2772,11.0,15.0
2021,Reading,11,6768,89.0,104.0
2022,Reading,3,7056,118.0,145.0
2025,Math,7,1152,67.0,74.0
2019,Math,8,4890,48.0,61.0
2023,Reading,7,1503,59.0,83.0
2021,Reading,3,6120,75.0,86.0
2020,Math,5,2367,12.0,13.0
2014,Math,4,6273,52.0,58.0
2022,Math,5,5643,63.0,73.0
2024,Math,6,18,16.0,24.0
2025,Math,11,4437,33.0,34.0
2022,Math,11,1134,18.0,26.0
2024,Math,4,1965,14.0,18.0
2018,Math,6,6165,18.0,20.0
2024,Math,8,5895,15.0,16.0
2023,Reading,8,2511,106.0,145.0
2024,Math,3,5463,59.0,75.0
2020,Math,7,3609,13.0,21.0
2018,Math,5,1737,1502.0,2072.0
2014,Math,4,414,47.0,51.0
2021,Reading,5,6030,56.0,73.0
2019,Reading,5,6822,347.0,390.0
2023,Math,7,27,87.0,100.0
2024,Reading,5,1576,131.0,154.0
2022,Math,5,1476,454.0,576.0
2018,Reading,3,5643,56.0,67.0
2021,Math,3,3312,101.0,126.0
2016,Reading,11,6165,20.0,24.0
2019,Math,7,9,36.0,46.0
2021,Reading,7,6930,43.0,53.0
2023,Math,7,6035,26.0,40.0
2022,Math,7,1350,19.0,23.0
2019,Math,8,1791,55.0,60.0
2022,Math,3,4761,22.0,29.0
2019,Math,7,6512,30.0,47.0
2025,Reading,7,7029,64.0,79.0
2014,Reading,4,6822,196.0,227.0
2020,Math,7,6987,29.0,41.0
2014,Math,8,4905,12.0,19.0
2023,Reading,7,234,55.0,75.0
2021,Reading,8,981,107.0,134.0
2020,Math,11,7083,17.0,19.0
2025,Math,5,5184,76.0,105.0
2021,Reading,8,2124,55.0,92.0
2017,Math,6,6651,17.0,22.0
2022,Math,3,7110,43.0,49.0
2021,Math,6,6651,15.0,21.0
2025,Reading,8,4041,70.0,96.0
2018,Math,6,5625,33.0,43.0
2025,Reading,6,3645,135.0,219.0
2020,Reading,8,549,33.0,40.0
2025,Reading,5,1134,16.0,19.0
2022,Math,11,4788,32.0,40.0
2024,Reading,11,5049,206.0,289.0
2017,Reading,6,6165,20.0,22.0
2018,Math,6,4104,208.0,337.0
2020,Math,3,873,20.0,29.0
2014,Math,8,4104,220.0,347.0
2019,Reading,5,6651,19.0,30.0
2021,Reading,11,6536,70.0,94.0
2017,Reading,4,2369,26.0,28.0
2021,Math,7,3033,50.0,70.0
2014,Math,8,4776,28.0,45.0
2019,Math,3,1413,28.0,37.0
2016,Reading,11,6750,15.0,20.0
2023,Reading,3,1476,444.0,601.0
2024,Math,7,6101,347.0,441.0
2022,Reading,6,4437,36.0,46.0
2017,Reading,11,1576,80.0,92.0
2021,Reading,5,6795,460.0,680.0
2020,Reading,8,4086,97.0,147.0
2023,Math,6,6937,26.0,49.0
2018,Reading,7,6509,28.0,46.0
2020,Reading,11,6097,18.0,19.0
2020,Math,8,6990,35.0,38.0
2025,Math,3,6840,145.0,151.0
2023,Reading,6,1107,55.0,100.0
2022,Reading,7,6983,35.0,43.0
2022,Math,3,225,225.0,257.0
2023,Reading,3,3029,41.0,62.0
2024,Reading,7,3555,31.0,47.0
2024,Reading,7,5049,179.0,295.0
2020,Reading,8,1963,29.0,46.0
2023,Math,3,5877,102.0,114.0
2019,Math,3,1965,17.0,24.0
2021,Math,3,1975,24.0,30.0
2017,Reading,4,270,17.0,22.0
2021,Math,7,6795,455.0,753.0
2020,Reading,11,1089,21.0,27.0
2015,Reading,11,6741,35.0,46.0
2023,Reading,3,5625,35.0,38.0
2021,Math,6,18,19.0,29.0
2024,Reading,6,6095,45.0,51.0
2017,Reading,3,4212,18.0,21.0
2019,Math,6,6096,34.0,42.0
2014,Reading,8,6762,31.0,45.0
2023,Math,3,6165,12.0,13.0
2025,Math,6,4776,29.0,37.0
2023,Math,3,333,19.0,22.0
2024,Reading,3,2682,31.0,38.0
2017,Reading,6,936,45.0,75.0
2018,Reading,8,2834,19.0,27.0
2021,Reading,11,4773,37.0,47.0
2017,Reading,5,2151,15.0,16.0
2024,Math,7,6097,5.0,12.0
2018,Math,4,6867,89.0,100.0
2023,Reading,7,3609,14.0,27.0
2022,Math,8,4785,42.0,47.0
2024,Math,6,1619,52.0,89.0
2024,Math,11,6950,109.0,114.0
2017,Math,3,7098,34.0,38.0
2022,Reading,4,5310,16.0,23.0
2019,Math,7,4869,59.0,77.0
2018,Reading,8,3150,59.0,80.0
2018,Reading,11,6512,26.0,37.0
2024,Reading,3,621,239.0,281.0
2019,Math,3,1093,30.0,45.0
2014,Reading,4,4033,24.0,32.0
2019,Math,11,3312,93.0,151.0
2025,Reading,7,729,105.0,141.0
2025,Math,8,5013,114.0,180.0
2024,Math,8,1071,57.0,90.0
2024,Reading,5,585,38.0,51.0
2020,Math,11,4860,24.0,29.0
2015,Math,8,6840,139.0,165.0
2021,Reading,7,6536,73.0,102.0
2019,Reading,4,2493,22.0,27.0
2016,Math,4,5724,15.0,15.0
2021,Reading,6,5310,14.0,34.0
2018,Reading,5,2151,16.0,23.0
2025,Math,3,6854,27.0,34.0
2020,Math,4,5949,61.0,65.0
2015,Reading,11,2322,131.0,152.0
2017,Math,4,1206,43.0,52.0
2018,Reading,4,576,17.0,24.0
2015,Math,8,5486,24.0,26.0
2021,Reading,4,1970,34.0,41.0
2018,Math,5,6921,18.0,19.0
2025,Reading,10,4068,26.0,34.0
2020,Reading,8,2772,16.0,23.0
2020,Reading,7,3150,70.0,102.0
2019,Math,4,1975,24.0,24.0
2025,Math,3,4131,194.0,246.0
2019,Reading,7,3816,35.0,43.0
2015,Math,11,6100,50.0,61.0
2021,Math,4,5139,13.0,13.0
2025,Reading,11,5805,79.0,109.0
2025,Math,6,2124,68.0,87.0
2020,Reading,11,4869,85.0,102.0
2017,Math,3,2313,171.0,240.0
2022,Reading,5,472,99.0,115.0
2024,Math,6,1197,39.0,62.0
2020,Reading,6,3195,56.0,80.0
2025,Math,7,6471,29.0,31.0
2025,Math,8,4505,9.0,11.0
2023,Math,8,6096,22.0,35.0
2017,Reading,4,2113,24.0,29.0
2021,Math,3,5625,32.0,38.0
2019,Math,5,2376,30.0,37.0
2025,Math,5,5283,31.0,39.0
2019,Math,8,4778,20.0,22.0
2023,Reading,7,4527,25.0,37.0
2025,Math,4,6750,6.0,10.0
2016,Math,11,4356,62.0,75.0
2020,Reading,7,6867,92.0,114.0
2017,Math,5,3312,115.0,145.0
2025,Reading,3,279,51.0,58.0
2017,Math,6,3600,119.0,152.0
2017,Reading,8,5486,17.0,20.0
2018,Math,3,5510,39.0,44.0
2021,Math,5,4068,17.0,27.0
2025,Reading,3,873,21.0,23.0
2014,Math,8,3537,39.0,47.0
2023,Math,6,4581,231.0,367.0
2017,Math,4,4777,35.0,44.0
2014,Reading,4,4644,25.0,30.0
2023,Reading,11,4890,56.0,66.0
2021,Math,3,333,14.0,17.0
2014,Reading,4,2369,29.0,46.0
2015,Math,4,1082,65.0,72.0
2025,Math,7,1062,95.0,97.0
2014,Math,4,2007,29.0,45.0
2023,Reading,5,1359,20.0,26.0
2021,Math,3,7038,35.0,43.0
2014,Math,4,5805,55.0,84.0
2025,Math,8,1926,25.0,50.0
2025,Math,7,9,34.0,39.0
2022,Reading,5,3029,59.0,78.0
2019,Math,6,2313,209.0,260.0
2025,Reading,10,3186,21.0,22.0
2017,Reading,5,6741,15.0,29.0
2021,Math,7,4131,191.0,277.0
2017,Reading,8,4023,38.0,49.0
2019,Reading,6,7110,31.0,42.0
2022,Reading,8,2520,20.0,24.0
2015,Reading,4,4505,20.0,22.0
2015,Math,8,594,33.0,58.0
2025,Reading,11,6101,360.0,440.0
2014,Math,11,5643,74.0,87.0
2017,Math,7,3375,122.0,158.0
2018,Math,8,2016,15.0,19.0
2022,Math,6,4978,8.0,13.0
2025,Math,8,6003,20.0,22.0
2016,Reading,4,1791,35.0,42.0
2020,Math,7,6592,34.0,47.0
2019,Math,7,4761,23.0,28.0
2018,Reading,4,6512,21.0,26.0
2023,Reading,6,3816,18.0,36.0
2025,Reading,6,81,53.0,72.0
2024,Math,11,4086,99.0,121.0
2017,Reading,11,1413,31.0,36.0
2022,Reading,8,4104,193.0,293.0
2023,Reading,3,4446,62.0,74.0
2020,Reading,11,6651,19.0,24.0
2021,Reading,5,4890,41.0,50.0
2024,Math,5,1863,565.0,707.0
2025,Reading,11,6867,90.0,118.0
2021,Reading,4,1332,38.0,51.0
2017,Reading,11,2781,49.0,72.0
2020,Reading,3,747,31.0,39.0
2018,Reading,5,4778,16.0,17.0
2015,Math,8,5337,11.0,21.0
2020,Math,5,6408,59.0,70.0
2019,Math,7,3798,46.0,57.0
2020,Math,8,2169,104.0,131.0
2025,Reading,10,1197,65.0,80.0
2025,Math,3,6453,58.0,63.0
2019,Reading,3,6983,42.0,48.0
2019,Reading,11,4518,19.0,24.0
2017,Reading,11,5643,67.0,83.0
2014,Reading,8,387,82.0,114.0
2025,Math,4,423,9.0,13.0
2014,Reading,11,1963,37.0,46.0
2020,Math,5,5697,26.0,37.0
2024,Math,7,4788,31.0,41.0
2025,Math,8,153,37.0,42.0
2014,Math,11,2673,45.0,63.0
2018,Reading,11,2502,47.0,68.0
2018,Math,5,1095,27.0,30.0
2024,Math,4,2403,42.0,53.0
2019,Math,8,1332,40.0,70.0
2023,Reading,7,6822,414.0,494.0
2023,Reading,6,3186,10.0,20.0
2021,Reading,6,1975,21.0,23.0
2023,Reading,7,5256,33.0,42.0
2020,Math,6,4785,35.0,42.0
2023,Reading,11,6138,18.0,25.0
2018,Reading,3,1095,41.0,43.0
2019,Math,4,2205,9.0,11.0
2015,Reading,4,4086,83.0,94.0
2019,Math,11,6660,113.0,143.0
2016,Math,8,2205,12.0,21.0
2017,Reading,7,6003,14.0,21.0
2019,Reading,4,1080,29.0,38.0
2023,Math,3,7110,41.0,45.0
2022,Reading,11,882,166.0,212.0
2024,Reading,4,4995,55.0,59.0
2025,Reading,11,6102,109.0,128.0
2018,Reading,5,1953,39.0,49.0
2021,Math,5,153,39.0,41.0
2021,Reading,4,5949,58.0,73.0
2017,Math,11,6165,24.0,29.0
2022,Reading,4,6700,23.0,35.0
2017,Math,5,2520,20.0,22.0
2022,Math,11,6741,64.0,74.0
2015,Math,11,6930,51.0,59.0
2025,Reading,3,4509,18.0,19.0
2020,Reading,3,2709,97.0,117.0
2020,Math,8,4419,49.0,58.0
2020,Reading,5,2016,12.0,14.0
2022,Reading,5,270,8.0,10.0
2020,Reading,11,1359,29.0,41.0
2019,Reading,7,5823,15.0,21.0
2015,Reading,8,6120,82.0,103.0
2025,Reading,10,6096,28.0,32.0
2019,Reading,3,6795,444.0,684.0
2022,Reading,3,1107,78.0,105.0
2015,Math,8,6961,150.0,189.0
2022,Reading,3,270,9.0,12.0
2015,Math,11,3348,43.0,51.0
2021,Math,3,4784,192.0,214.0
2019,Math,7,3060,55.0,68.0
2018,Math,6,5607,31.0,41.0
2021,Reading,7,6921,15.0,16.0
2018,Math,8,6095,49.0,58.0
2021,Reading,11,5805,65.0,96.0
2020,Math,5,7038,46.0,64.0
2020,Reading,11,3420,31.0,45.0
2014,Math,11,4086,104.0,117.0
2019,Reading,6,4869,45.0,70.0
2017,Reading,3,27,102.0,121.0
2022,Reading,6,2113,16.0,24.0
2014,Math,8,5283,61.0,72.0
2021,Reading,3,6093,74.0,93.0
2022,Math,8,2151,8.0,14.0
2020,Reading,5,6512,22.0,36.0
2024,Reading,6,1053,656.0,1079.0
2014,Reading,8,4356,55.0,74.0
2023,Math,5,4203,46.0,51.0
2025,Reading,10,7110,42.0,50.0
2015,Reading,11,1926,32.0,41.0
2021,Reading,6,4797,158.0,198.0
2016,Math,4,4437,21.0,28.0
2025,Math,11,5949,57.0,68.0
2017,Math,4,4086,88.0,104.0
2018,Reading,6,3154,35.0,52.0
2017,Math,5,2205,16.0,19.0
2025,Math,3,6943,19.0,19.0
2021,Math,8,441,33.0,34.0
2019,Reading,4,6264,47.0,64.0
2023,Math,6,414,29.0,33.0
2016,Reading,8,4041,90.0,132.0
2014,Reading,4,882,172.0,310.0
2016,Reading,8,5013,133.0,189.0
2019,Reading,8,4617,79.0,102.0
2024,Math,7,6633,13.0,26.0
2020,Reading,5,3348,40.0,46.0
2025,Math,4,1413,23.0,30.0
2025,Math,10,5139,11.0,13.0
2016,Reading,11,4491,18.0,27.0
2019,Reading,11,2826,139.0,155.0
2021,Reading,6,4776,24.0,30.0
2025,Reading,6,3141,622.0,847.0
2021,Reading,6,2113,13.0,15.0
2025,Math,11,3600,158.0,175.0
2019,Reading,11,5805,73.0,109.0
2020,Reading,7,2367,5.0,9.0
2016,Reading,4,4581,316.0,353.0
2022,Math,3,5994,29.0,48.0
2019,Reading,3,6950,69.0,91.0
2023,Math,3,5463,55.0,81.0
2023,Math,8,2349,46.0,57.0
2024,Reading,8,6003,26.0,41.0
2020,Math,7,6512,36.0,44.0
2023,Math,11,6175,46.0,53.0
2017,Math,6,4446,58.0,69.0
2016,Math,11,2295,91.0,115.0
2022,Math,7,6950,79.0,104.0
2021,Reading,8,5643,59.0,67.0
2025,Reading,4,6937,36.0,46.0
2019,Math,4,6950,75.0,97.0
2021,Math,4,6937,34.0,45.0
2018,Reading,3,5949,44.0,53.0
2020,Reading,6,5256,20.0,36.0
2017,Reading,11,2511,100.0,126.0
2024,Reading,6,6822,465.0,567.0
2025,Math,11,4788,30.0,32.0
2025,Math,3,6039,382.0,949.0
2021,Math,3,2466,72.0,78.0
2023,Reading,8,2718,27.0,34.0
2024,Math,6,2754,29.0,31.0
2019,Reading,3,1963,29.0,35.0
2016,Reading,8,3312,111.0,171.0
2023,Math,6,1095,28.0,37.0
2021,Reading,4,3042,41.0,46.0
2022,Reading,6,2846,18.0,22.0
2019,Math,8,6840,128.0,153.0
2021,Reading,5,621,268.0,318.0
2022,Reading,7,747,36.0,45.0
2025,Math,8,3119,55.0,67.0
2020,Reading,6,3231,372.0,443.0
2020,Reading,4,2727,34.0,42.0
2024,Reading,3,6453,52.0,59.0
2019,Math,8,1989,43.0,55.0
2023,Math,6,5805,46.0,82.0
2018,Math,11,5463,63.0,79.0
2018,Math,7,5823,22.0,28.0
2021,Reading,5,1413,33.0,38.0
2022,Reading,4,6615,39.0,42.0
2017,Reading,6,4784,150.0,197.0
2023,Math,7,2113,21.0,23.0
2017,Reading,5,2124,67.0,87.0
2020,Reading,6,4788,22.0,25.0
2020,Math,11,6950,105.0,130.0
2025,Reading,4,3154,31.0,36.0
2018,Math,11,6097,18.0,20.0
2020,Math,3,4890,52.0,55.0
2025,Math,5,6093,79.0,91.0
2020,Reading,6,6660,51.0,97.0
2017,Reading,6,2151,10.0,16.0
2015,Reading,8,4041,83.0,119.0
2018,Math,8,1071,86.0,113.0
2019,Reading,4,6101,358.0,442.0
2025,Math,3,720,108.0,131.0
2015,Math,4,1926,42.0,47.0
2021,Math,8,5508,11.0,20.0
2018,Math,7,2466,69.0,74.0
2017,Reading,6,914,21.0,26.0
2024,Reading,6,6509,12.0,16.0
2019,Math,3,4572,13.0,16.0
2025,Math,5,6471,25.0,32.0
2018,Math,5,6471,26.0,29.0
2021,Reading,3,1215,22.0,27.0
2018,Math,11,6512,31.0,37.0
2022,Math,7,7029,49.0,64.0
2021,Math,6,4068,31.0,32.0
2021,Reading,8,6992,19.0,34.0
2020,Reading,8,6408,43.0,57.0
2021,Math,6,5823,25.0,31.0
2017,Reading,3,1221,80.0,107.0
2020,Math,7,2403,51.0,58.0
2017,Math,5,1368,50.0,64.0
2017,Math,8,3060,86.0,108.0
2023,Math,7,7029,59.0,62.0
2025,Reading,4,6592,26.0,35.0
2021,Math,7,1917,22.0,31.0
2025,Reading,5,1079,55.0,67.0
2015,Reading,4,414,43.0,50.0
2017,Math,4,6534,49.0,57.0
2019,Math,7,2313,198.0,279.0
2021,Math,3,6536,65.0,90.0
2019,Reading,5,1413,35.0,38.0
2017,Reading,5,5607,31.0,39.0
2023,Reading,11,1080,34.0,42.0
2022,Reading,5,3465,12.0,22.0
2024,Reading,6,3204,46.0,67.0
2024,Math,6,1368,40.0,47.0
2021,Math,11,4043,47.0,54.0
2016,Reading,8,2151,10.0,15.0
2019,Math,8,1233,91.0,116.0
2016,Math,8,6003,22.0,25.0
2018,Reading,5,4437,36.0,42.0
2020,Math,7,1359,30.0,34.0
2021,Reading,7,4068,26.0,36.0
2018,Math,11,243,24.0,28.0
2020,Math,8,3744,34.0,39.0
2018,Math,7,6035,31.0,34.0
2024,Reading,11,5463,73.0,84.0
2017,Reading,8,1989,28.0,44.0
2021,Reading,11,1975,25.0,40.0
2019,Reading,8,2709,78.0,118.0
2015,Reading,8,7092,19.0,27.0
2022,Reading,11,2673,47.0,55.0
2020,Math,5,5751,36.0,46.0
2019,Math,7,2502,28.0,42.0
2021,Reading,3,5697,28.0,38.0
2024,Reading,3,5922,34.0,40.0
2019,Math,7,4527,28.0,41.0
2025,Math,3,7038,46.0,54.0
2025,Reading,11,3798,38.0,41.0
2017,Math,6,603,10.0,13.0
2017,Reading,11,3119,47.0,62.0
2017,Math,8,1197,50.0,66.0
2024,Math,4,6030,64.0,68.0
2020,Reading,4,4644,19.0,26.0
2016,Reading,4,6219,78.0,118.0
2023,Math,5,5976,46.0,64.0
2020,Math,7,5949,56.0,63.0
2019,Math,4,2682,20.0,25.0
2024,Math,8,3645,131.0,207.0
2021,Math,3,6975,56.0,91.0
2017,Reading,3,2977,33.0,56.0
2018,Math,7,747,29.0,40.0
2025,Reading,4,135,56.0,69.0
2017,Math,4,2322,120.0,135.0
2019,Reading,3,6992,44.0,59.0
2017,Math,3,6840,99.0,109.0
2020,Math,3,918,29.0,30.0
2019,Math,4,6615,40.0,44.0
2025,Math,11,5508,25.0,28.0
2022,Reading,4,3537,16.0,20.0
2024,Math,6,1576,125.0,149.0
2020,Math,5,4662,54.0,67.0
2020,Math,3,2124,79.0,97.0
2019,Reading,7,270,49.0,57.0
2025,Math,6,1619,54.0,78.0
2017,Reading,8,6660,85.0,141.0
2018,Math,11,5508,32.0,41.0
2021,Reading,4,3204,50.0,71.0
2022,Reading,8,6099,37.0,43.0
2024,Reading,6,5184,64.0,109.0
2018,Reading,8,6175,45.0,60.0
2025,Math,7,2502,38.0,46.0
2022,Math,4,4356,54.0,54.0
2015,Math,4,7047,22.0,27.0
2015,Math,4,5742,23.0,34.0
2023,Math,8,6750,7.0,10.0
2025,Math,3,609,76.0,88.0
2018,Math,3,846,41.0,50.0
2021,Reading,11,4041,84.0,117.0
2017,Math,3,4644,30.0,32.0
2024,Reading,7,1449,6.0,12.0
2015,Math,11,6840,141.0,172.0
2022,Reading,5,261,557.0,614.0
2017,Reading,5,1791,37.0,45.0
2018,Math,5,2727,35.0,41.0
2025,Reading,11,1926,35.0,48.0
2025,Reading,7,225,239.0,278.0
2023,Reading,6,3645,123.0,228.0
2025,Math,5,4878,43.0,46.0
2024,Math,5,1972,28.0,36.0
2023,Reading,6,657,34.0,45.0
2021,Reading,6,2151,13.0,15.0
2014,Reading,8,63,32.0,49.0
2019,Reading,6,6992,13.0,29.0
2023,Reading,8,1071,58.0,92.0
2022,Math,5,1359,28.0,33.0
2019,Math,4,3537,21.0,29.0
2022,Reading,4,2502,27.0,44.0
2017,Math,4,3600,116.0,144.0
2023,Math,11,5895,11.0,13.0
2021,Math,7,7002,10.0,14.0
2023,Math,6,609,73.0,108.0
2023,Reading,4,3060,72.0,81.0
2016,Math,11,6138,23.0,35.0
2017,Reading,3,6937,33.0,44.0
